siteId,descriptionOfSite,civicAddress,legalDescription,ownerName,ownerAddress,bylawNumber,datePassed,latitude,longitude,siteType,designatedOrListed,hasPage,keywords
1902-family-residence,1902 Family Residence,115 Upton Road,PLAN 2034 LOT 4 LOT 5,,,83-266,1983-10-24,46.505858,-84.313738,Property,Designated,TRUE,
eastbourne,Eastbourne,1048 Queen Street East,PLAN 2034 LOT 1 LOT 2 LOT 3,,,83-266 84-245 85-197,1983-10-24,46.505449,-84.313995,Property,Designated,TRUE,
central-united-church,Central United Church,160 Spring Street,PLAN 5884 LOTS 11 12 13 18 & 19,,,85-267,1985-10-08,46.511094,-84.329415,Property,Designated,TRUE,502 albert
barnes-block,Barnes Block,3 - 7 Queen St E,,,,86-189,1986-07-28,46.51749,-84.341056,Property,Designated,TRUE,
dawson-block,Dawson Block,708 - 714 Queen St E,,,,86-189,1986-07-28,46.507729,-84.327477,Property,Designated,TRUE,
barnes-fawcett-block,Barnes-Fawcett Block,358 - 366 Queen St E,,,,89-312,1989-10-16,46.512789,-84.334364,Property,Designated,TRUE,
mcleod-family-residence,McLeod Family Residence,143 McGregor Avenue,ST MARYS CON 1 PT PARK LOT 13 PLAN 7134 LOT 38 S PT LOT 37 AND RP 1R11652 PART 1,,,91-229,1991-11-18,46.506013,-84.311367,Property,Designated,TRUE,
buchan-house,Buchan House - Mockingbird Hill Farm,943 Landslide Road,SEC 9PT PCL 4871 AWS RP AR200 PART 1PT,,,92-18,1994-06-13,46.5933,-84.280522,Property,Designated,TRUE,
old-town-cemetery,Old Town Cemetery - Queen Street Cemetery,1186 Queen Street East,CON 1 PARK PT LOT 9 N/S QUEEN ST E,,,94-113,1994-06-13,46.504862,-84.305654,Property,Designated,TRUE,
34-36-herrick-street,34 - 36 Herrick Street ,34 - 36 Herrick St,,,,95-89,1995-05-29,46.507666,-84.322759,Property,Designated,TRUE,
canadian-bushplane-heritage-centre,Canadian Bushplane Heritage Centre,69 Church Street,,,,2002-37,2002-02-25,46.5049246,-84.325013,Property,Designated,TRUE,
forest-research-laboratory,Forest Research Laboratory,875 Queen Street East,PLAN 204 LTS 5-12 LUSCOMBE ST 4-11 PIM ST LUSCOMBE ST PT CON 1 LT 23PT 24PT WATER LTS RP 1R9947 PT 1 TO 7,,,2002-38,2002-02-25,46.505608,-84.322352,Property,Designated,TRUE,
north-west-company-lock,North West Company Lock,75 Huron Street,PT HUDSON'S BAY COMPANY'S LANDS PT LAIRD AND HENDERSON MILL SITE PART LAND AND LAND COVERED WITH WATER AT THE FOOT OF THE RAPIDS ON THE,,,2002-39,2002-02-25,46.515708,-84.348751,Property,Designated,TRUE,
sault-ste-marie-courthouse,Sault Ste. Marie Courthouse,426 Queen Street East,,,,2004-162,2004-09-27,46.512037,-84.332386,Property,Designated,TRUE,cenotaph
memorial-tower,Memorial Tower,269 Queen Street East,TOWN PLOT OF ST. MARY'S LOTS 26 TO 28 N BAY ST PT LOTS 26 29 30 S QUEEN ST PLAN 115 LOTS 1 TO 7 LANE PLAN 757 LOTS 1 TO 8 PLAN 2436 LOTS 1,,,2006-164,2006-07-24,46.514273,-84.336896,Monument,Designated,TRUE,
911-wellington-street-east,Residence,911 Wellington St E,PLAN 568 LOT 15 PLAN 930 LOT 29,,,2008-193,2008-11-03,46.509444,-84.318545,Property,Designated,TRUE,
1035-queen-street-east,Residence,1035 Queen St E,CON 1 PARK LOT 14PT WATER LOT IN FRONT PCL 1026 AWS,,,2008-193,2008-11-03,46.504846,-84.314316,Property,Designated,TRUE,
1164-queen-street-east,Residence,1164 Queen St E,PLAN 20815 LOT 2WPT LOT 3,,,2012-77,2012-05-14,46.505246,-84.309104,Property,Designated,TRUE,
bishophurst,Bishophurst,134 Simpson St,CON 1 PARK PT LOT 1 N QUEEN ST E,,,,,46.506759,-84.315702,Property,Listed,TRUE,
rotary-welcome-cairns,Rotary Welcome Cairns,89 - 95 Foster Drive,,,,2005-160,2005-10-17,46.5080571,-84.3319234,Monument,Designated,TRUE,
cenotaph,Cenotaph,426 Queen Street East,,,,2005-161,2005-10-17,46.511779,-84.332859,Monument,Designated,TRUE,courthouse
louis-joliet-plaque,Louis Joliet Plaque,13 Canal Drive,,,,2008-35,2008-02-25,46.515172,-84.347171,Plaque,Designated,TRUE,
voyageurs-plaque,The Voyageurs Plaque,111 Huron Street,,,,2008-35,2008-02-25,46.517855,-84.348157,Plaque,Designated,TRUE,coureurs bois france
red-river-expedition-plaque,Red River Expedition Plaque,270 Queen Street West,,,,2008-35,2008-02-25,46.518302,-84.347714,Plaque,Designated,TRUE,wolseley
great-war-1914-1918,The Great War of 1914 - 1918,24 Wellington Street West,,,,2008-35,2008-02-25,46.520212,-84.339657,Plaque,Designated,TRUE,
international-hotel-stone-plaque,International Hotel Stone Plaque,311 Queen Street East,,,,2008-193,2008-11-03,46.513085,-84.335182,Plaque,Designated,TRUE,
